t,n_workers,total_mb,event
36910,8,13394.7,
36940,8,13573.1,
36970,8,13353.6,
37000,8,13592.8,
37030,8,13639.6,
37060,8,13980.1,
37090,8,13600.8,
37120,8,14131.9,
37150,8,13943.9,
37180,8,13791.2,
37210,8,13589.8,
37240,8,13536.6,
37270,8,13976.9,
37300,8,14258.6,
37331,8,13945.8,
37361,8,13903.2,
37391,8,13752.6,
37421,8,14508.6,
37451,8,14147.7,
37481,8,14030.1,
37511,8,14142.7,
37541,8,14516.2,
37571,8,14239.7,
37601,8,14428.3,
37631,8,13966.6,
37661,8,14146.8,
37691,8,14647.9,
37721,8,14844.5,
37751,8,14453.2,
37781,8,14775.0,
37811,8,14557.3,
37842,8,14547.8,
37872,8,14661.0,
37902,8,14828.5,
37932,8,14940.0,
37962,8,14574.1,
37992,8,14658.1,
38022,8,15035.1,
